Calibrated sigma = 0.8118 for eps=20.0
Verification: sigma=0.8118 -> eps=20.0004
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
[DP-FedRAG eps=20.0] Starting training...
<class 'transformers.models.bert.modeling_bert.BertModel'>
[DP-Client 1] step 0/16, C=1.4561, σ=0.8118092727661133, ‖∇‖=1546.0210
[DP-Client 1] step 3/16, C=1.4561, σ=0.8118092727661133, ‖∇‖=1545.9366
[DP-Client 1] step 6/16, C=1.4561, σ=0.8118092727661133, ‖∇‖=1545.9508
[DP-Client 1] step 9/16, C=1.4561, σ=0.8118092727661133, ‖∇‖=1545.9781
[DP-Client 1] step 12/16, C=1.4561, σ=0.8118092727661133, ‖∇‖=1546.2507
[DP-Client 1] step 15/16, C=1.4561, σ=0.8118092727661133, ‖∇‖=1546.1419
[DP-Client 2] step 0/22, C=1.3610, σ=0.8118092727661133, ‖∇‖=1445.1966
[DP-Client 2] step 4/22, C=1.3610, σ=0.8118092727661133, ‖∇‖=1445.0486
[DP-Client 2] step 8/22, C=1.3610, σ=0.8118092727661133, ‖∇‖=1445.2594
[DP-Client 2] step 12/22, C=1.3610, σ=0.8118092727661133, ‖∇‖=1444.9294
[DP-Client 2] step 16/22, C=1.3610, σ=0.8118092727661133, ‖∇‖=1445.1696
[DP-Client 2] step 20/22, C=1.3610, σ=0.8118092727661133, ‖∇‖=1445.2164
[DP-Client 3] step 0/16, C=1.4235, σ=0.8118092727661133, ‖∇‖=1511.4977
[DP-Client 3] step 3/16, C=1.4235, σ=0.8118092727661133, ‖∇‖=1511.2630
[DP-Client 3] step 6/16, C=1.4235, σ=0.8118092727661133, ‖∇‖=1511.5274
[DP-Client 3] step 9/16, C=1.4235, σ=0.8118092727661133, ‖∇‖=1511.5571
[DP-Client 3] step 12/16, C=1.4235, σ=0.8118092727661133, ‖∇‖=1511.4368
[DP-Client 3] step 15/16, C=1.4235, σ=0.8118092727661133, ‖∇‖=1511.3929
[DP-Client 4] step 0/50, C=1.7809, σ=0.8118092727661133, ‖∇‖=1890.9578
[DP-Client 4] step 10/50, C=1.7809, σ=0.8118092727661133, ‖∇‖=1890.9601
[DP-Client 4] step 20/50, C=1.7809, σ=0.8118092727661133, ‖∇‖=1890.9510
[DP-Client 4] step 30/50, C=1.7809, σ=0.8118092727661133, ‖∇‖=1890.8472
[DP-Client 4] step 40/50, C=1.7809, σ=0.8118092727661133, ‖∇‖=1890.8642
[DP-Client 0] step 0/11, C=1.3423, σ=0.8118092727661133, ‖∇‖=1425.4775
[DP-Client 0] step 2/11, C=1.3423, σ=0.8118092727661133, ‖∇‖=1425.2142
[DP-Client 0] step 4/11, C=1.3423, σ=0.8118092727661133, ‖∇‖=1425.3160
[DP-Client 0] step 6/11, C=1.3423, σ=0.8118092727661133, ‖∇‖=1425.3814
[DP-Client 0] step 8/11, C=1.3423, σ=0.8118092727661133, ‖∇‖=1425.2493
[DP-Client 0] step 10/11, C=1.3423, σ=0.8118092727661133, ‖∇‖=1425.1970
[DP-Client 1] step 0/16, C=1.6025, σ=0.8118092727661133, ‖∇‖=1701.5832
[DP-Client 1] step 3/16, C=1.6025, σ=0.8118092727661133, ‖∇‖=1701.3303
[DP-Client 1] step 6/16, C=1.6025, σ=0.8118092727661133, ‖∇‖=1701.5415
[DP-Client 1] step 9/16, C=1.6025, σ=0.8118092727661133, ‖∇‖=1701.5437
[DP-Client 1] step 12/16, C=1.6025, σ=0.8118092727661133, ‖∇‖=1701.3344
[DP-Client 1] step 15/16, C=1.6025, σ=0.8118092727661133, ‖∇‖=1701.7146
[DP-Client 2] step 0/22, C=1.2096, σ=0.8118092727661133, ‖∇‖=1284.5659
[DP-Client 2] step 4/22, C=1.2096, σ=0.8118092727661133, ‖∇‖=1284.4263
[DP-Client 2] step 8/22, C=1.2096, σ=0.8118092727661133, ‖∇‖=1284.3180
[DP-Client 2] step 12/22, C=1.2096, σ=0.8118092727661133, ‖∇‖=1284.4527
[DP-Client 2] step 16/22, C=1.2096, σ=0.8118092727661133, ‖∇‖=1284.4147
[DP-Client 2] step 20/22, C=1.2096, σ=0.8118092727661133, ‖∇‖=1284.2244
[DP-Client 3] step 0/16, C=1.8511, σ=0.8118092727661133, ‖∇‖=1965.4195
[DP-Client 3] step 3/16, C=1.8511, σ=0.8118092727661133, ‖∇‖=1965.1753
[DP-Client 3] step 6/16, C=1.8511, σ=0.8118092727661133, ‖∇‖=1965.6146
[DP-Client 3] step 9/16, C=1.8511, σ=0.8118092727661133, ‖∇‖=1965.4341
[DP-Client 3] step 12/16, C=1.8511, σ=0.8118092727661133, ‖∇‖=1965.4278
[DP-Client 3] step 15/16, C=1.8511, σ=0.8118092727661133, ‖∇‖=1965.2068
[DP-Client 4] step 0/50, C=1.7054, σ=0.8118092727661133, ‖∇‖=1810.6507
[DP-Client 4] step 10/50, C=1.7054, σ=0.8118092727661133, ‖∇‖=1810.9120
[DP-Client 4] step 20/50, C=1.7054, σ=0.8118092727661133, ‖∇‖=1810.5693
[DP-Client 4] step 30/50, C=1.7054, σ=0.8118092727661133, ‖∇‖=1810.8927
[DP-Client 4] step 40/50, C=1.7054, σ=0.8118092727661133, ‖∇‖=1810.7176
[DP-Client 0] step 0/11, C=1.8324, σ=0.8118092727661133, ‖∇‖=1945.5810
[DP-Client 0] step 2/11, C=1.8324, σ=0.8118092727661133, ‖∇‖=1945.6382
[DP-Client 0] step 4/11, C=1.8324, σ=0.8118092727661133, ‖∇‖=1945.8308
[DP-Client 0] step 6/11, C=1.8324, σ=0.8118092727661133, ‖∇‖=1945.2990
[DP-Client 0] step 8/11, C=1.8324, σ=0.8118092727661133, ‖∇‖=1945.7171
[DP-Client 0] step 10/11, C=1.8324, σ=0.8118092727661133, ‖∇‖=1945.3475
[DP-Client 1] step 0/16, C=1.3387, σ=0.8118092727661133, ‖∇‖=1421.4055
[DP-Client 1] step 3/16, C=1.3387, σ=0.8118092727661133, ‖∇‖=1421.2715
[DP-Client 1] step 6/16, C=1.3387, σ=0.8118092727661133, ‖∇‖=1421.3516
[DP-Client 1] step 9/16, C=1.3387, σ=0.8118092727661133, ‖∇‖=1421.2804
[DP-Client 1] step 12/16, C=1.3387, σ=0.8118092727661133, ‖∇‖=1421.1769
[DP-Client 1] step 15/16, C=1.3387, σ=0.8118092727661133, ‖∇‖=1421.3470
[DP-Client 2] step 0/22, C=1.7385, σ=0.8118092727661133, ‖∇‖=1845.9310
[DP-Client 2] step 4/22, C=1.7385, σ=0.8118092727661133, ‖∇‖=1845.8876
[DP-Client 2] step 8/22, C=1.7385, σ=0.8118092727661133, ‖∇‖=1846.1823
[DP-Client 2] step 12/22, C=1.7385, σ=0.8118092727661133, ‖∇‖=1846.0140
[DP-Client 2] step 16/22, C=1.7385, σ=0.8118092727661133, ‖∇‖=1845.7865
[DP-Client 2] step 20/22, C=1.7385, σ=0.8118092727661133, ‖∇‖=1845.8541
[DP-Client 3] step 0/16, C=1.5311, σ=0.8118092727661133, ‖∇‖=1625.8774
[DP-Client 3] step 3/16, C=1.5311, σ=0.8118092727661133, ‖∇‖=1625.6732
[DP-Client 3] step 6/16, C=1.5311, σ=0.8118092727661133, ‖∇‖=1625.6854
[DP-Client 3] step 9/16, C=1.5311, σ=0.8118092727661133, ‖∇‖=1625.8577
[DP-Client 3] step 12/16, C=1.5311, σ=0.8118092727661133, ‖∇‖=1625.6748
[DP-Client 3] step 15/16, C=1.5311, σ=0.8118092727661133, ‖∇‖=1625.5737
[DP-Client 4] step 0/50, C=1.4206, σ=0.8118092727661133, ‖∇‖=1508.2387
[DP-Client 4] step 10/50, C=1.4206, σ=0.8118092727661133, ‖∇‖=1508.4662
[DP-Client 4] step 20/50, C=1.4206, σ=0.8118092727661133, ‖∇‖=1508.3002
[DP-Client 4] step 30/50, C=1.4206, σ=0.8118092727661133, ‖∇‖=1508.2780
[DP-Client 4] step 40/50, C=1.4206, σ=0.8118092727661133, ‖∇‖=1508.3140
[DP-Client 0] step 0/11, C=2.0508, σ=0.8118092727661133, ‖∇‖=2177.4725
[DP-Client 0] step 2/11, C=2.0508, σ=0.8118092727661133, ‖∇‖=2177.5593
[DP-Client 0] step 4/11, C=2.0508, σ=0.8118092727661133, ‖∇‖=2177.6603
[DP-Client 0] step 6/11, C=2.0508, σ=0.8118092727661133, ‖∇‖=2177.3075
[DP-Client 0] step 8/11, C=2.0508, σ=0.8118092727661133, ‖∇‖=2177.4179
